stage,dataset,graph_type,normalization,n_graphs,n_frames,D_dX_norm,trace,frobenius_norm,lambda_max,spectral_gap,R_low_dX_2,R_low_dX_4,R_low_dX_8,gap_D_dX_norm_control_minus_true,gap_R_low_dX_2_true_minus_control,gap_R_low_dX_4_true_minus_control,gap_R_low_dX_8_true_minus_control,schema_version,run_name,status,topology,encoder,prior,prior_weight,prior_type,graph_used_for_prior,prior_family,nominal_prior_weight,effective_prior_weight,initial_prior_loss,target_regularization_strength,calibration_reference_prior,effective_prior_contribution_mean,seed,config_hash,git_commit,config,diagnostics,H16,H32,final_train_loss,prior_loss_mean,wall_time_sec,created_at,classification,strict_label,diagnostic_failure_mode,recommended_next_experiment,claim_boundary,graph_gain_h32_pct,true_vs_permuted_gain_h32_pct,temporal_gain_h32_pct,graph_vs_temporal_gain_h32_pct,none_h32,graph_h32,permuted_h32,temporal_smooth_h32,none_h16,graph_h16,permuted_h16,temporal_smooth_h16,metadata_dataset,metadata_domain,metadata_topology,metadata_n_nodes,metadata_n_edges,metadata_n_frames,metadata_n_dim,metadata_trajectory_shape,metadata_c,metadata_damping,metadata_dt,metadata_noise,metadata_seed
stage0_raw,graph_wave_lattice,true_graph,lambda_max,1,64,0.577166991267843,16.076951545867367,3.1017361498170306,1.0000000000000004,0.03589838486224536,0.00013326313090601807,0.001787408356327952,0.008887725445400799,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,graph_wave_lattice,permuted_graph,lambda_max,8,64,0.46498559331148576,16.076951545867367,3.1017361498170306,1.0000000000000004,0.03589838486224536,0.024894338349804777,0.07543066272791676,0.19547947264550303,-0.11218139795635723,-0.02476107521889876,-0.0736432543715888,-0.18659174720010224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,graph_wave_lattice,random_graph,lambda_max,8,64,0.38749799057686996,13.339782681104516,2.7726832972036632,1.0,0.005311239866953886,0.03515908398412478,0.10286358098544593,0.20555457021127096,-0.18966900069097303,-0.035025820853218766,-0.10107617262911797,-0.19666684476587015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_wave_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_wave_lattice_gnn_none_lambda0p1_seed0,ok,lattice,gnn_node,none,0.1,none,False,none,0.1,0.1,0.0,0.04596711099147797,graph,0.0,0,7c0760a56c01e658814950e2a7cf603861fff5aa19a78f8a9a9305f4aa7ba230,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_wave_lattice_gnn_none_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.2438489093374312, 'covariance_condition_number': 549605.5856698983, 'projection_gaussianity_statistic': 2.0248896369736347, 'rollout_errors': {'16': 0.034705764381214976, '32': 0.0826166404876858}, 'final_train_loss': 5.167131651736175e-06, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.0004835353792865741, 'final_transition_loss': 5.167131651736175e-06}",0.034705764381214976,0.0826166404876858,5.167131651736175e-06,0.0,8.217167615890503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_wave_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_wave_lattice_gnn_graph_lambda0p1_seed0,ok,lattice,gnn_node,graph,0.09999999999978246,graph,True,graph,0.1,0.09999999999978246,0.45967110991477966,0.04596711099147797,graph,0.002548483412629658,0,ff477f5fb19bd19691ae9dee2ead01e4e3cfba9d017aae14a6fbe87fbe2e56eb,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_wave_lattice_gnn_graph_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.09999999999978246, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.9236571488887004, 'covariance_condition_number': 19171.63339854591, 'projection_gaussianity_statistic': 7.337538276584603, 'rollout_errors': {'16': 0.02127295295940712, '32': 0.09529432421550155}, 'final_train_loss': 0.00024577073054388165, 'prior_loss_mean': 0.02548483412635202, 'transition_loss_mean': 0.0004694828844624984, 'final_transition_loss': 1.3670534523650228e-06}",0.02127295295940712,0.09529432421550155,0.00024577073054388165,0.02548483412635202,47.85456967353821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_wave_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_wave_lattice_gnn_permuted_graph_lambda0p1_seed0,ok,lattice,gnn_node,permuted_graph,0.11481288384287726,permuted_graph,True,graph,0.1,0.11481288384287726,0.4003654420375824,0.04596711099147797,graph,0.0024680231319226093,0,71ffb631e23f913b2e7079ae60d8434008f5575dab582ddf4588efcf66faaef2,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_wave_lattice_gnn_permuted_graph_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.11481288384287726, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 4.170052913371825, 'covariance_condition_number': 5203.12777221918, 'projection_gaussianity_statistic': 8.990881558505766, 'rollout_errors': {'16': 0.021421426441520452, '32': 0.0878192784730345}, 'final_train_loss': 0.00026350498471098643, 'prior_loss_mean': 0.02149604686613505, 'transition_loss_mean': 0.00047036716728522757, 'final_transition_loss': 1.2828091560853256e-06}",0.021421426441520452,0.0878192784730345,0.00026350498471098643,0.02149604686613505,50.34162187576294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_wave_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_wave_lattice_gnn_temporal_smooth_lambda0p1_seed0,ok,lattice,gnn_node,temporal_smooth,16536.147756273815,temporal_smooth,False,temporal,0.1,16536.147756273815,2.779794613161357e-06,0.04596711099147797,graph,0.003310868909585503,0,8d8f5751f3734e0f9ca6d092e5929f897eaf5cb613b7ecb660bc28d80562fe73,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_wave_lattice_gnn_temporal_smooth_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'temporal_smooth', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 16536.147756273815, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.393137188008041, 'covariance_condition_number': 3015.9124304460834, 'projection_gaussianity_statistic': 9.903606477566887, 'rollout_errors': {'16': 0.020676728920079768, '32': 0.0824956907890737}, 'final_train_loss': 0.0005209801990228394, 'prior_loss_mean': 2.002200850152273e-07, 'transition_loss_mean': 0.0004725313260545742, 'final_transition_loss': 1.2524471912911395e-06}",0.020676728920079768,0.0824956907890737,0.0005209801990228394,2.002200850152273e-07,10.385617971420288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_wave_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_wave_lattice_gnn_none_lambda0p1_seed1,ok,lattice,gnn_node,none,0.1,none,False,none,0.1,0.1,0.0,0.01432739794254303,graph,0.0,1,c2d92ea9fc19004a706a4532dbc35b2c1c2f5df8733a750711f999f25973c696,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_wave_lattice_gnn_none_lambda0p1_seed1', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 1, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.4828822719967936, 'covariance_condition_number': 193626.53866015602, 'projection_gaussianity_statistic': 3.088298927758758, 'rollout_errors': {'16': 0.04388888436369598, '32': 0.1083175630774349}, 'final_train_loss': 5.578419859375572e-06, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.0005984886064046199, 'final_transition_loss': 5.578419859375572e-06}",0.04388888436369598,0.1083175630774349,5.578419859375572e-06,0.0,9.251879215240479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_wave_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_wave_lattice_gnn_graph_lambda0p1_seed1,ok,lattice,gnn_node,graph,0.09999999999930204,graph,True,graph,0.1,0.09999999999930204,0.1432739794254303,0.01432739794254303,graph,0.0010575133441718368,1,f9bc0a72c3d08d6b99d417dfe2c074175d853a996fd81674e2c8e466f42e33a3,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_wave_lattice_gnn_graph_lambda0p1_seed1', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 1, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.09999999999930204, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 4.378481192153761, 'covariance_condition_number': 6798.858715747417, 'projection_gaussianity_statistic': 9.330185589738687, 'rollout_errors': {'16': 0.02553268481278792, '32': 0.0715791608672589}, 'final_train_loss': 0.000138791535088482, 'prior_loss_mean': 0.01057513344179218, 'transition_loss_mean': 0.0005947023439299907, 'final_transition_loss': 3.116671147533149e-06}",0.02553268481278792,0.0715791608672589,0.000138791535088482,0.01057513344179218,46.840330600738525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_wave_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_wave_lattice_gnn_permuted_graph_lambda0p1_seed1,ok,lattice,gnn_node,permuted_graph,0.10586672949989655,permuted_graph,True,graph,0.1,0.10586672949989655,0.13533428311347961,0.01432739794254303,graph,0.0010782232270688148,1,fb6b6fad00a3f49f27465e026ac1e827b4e612cb700d39a1016b9a657641ce66,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_wave_lattice_gnn_permuted_graph_lambda0p1_seed1', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 1, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.10586672949989655, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 4.956862307483069, 'covariance_condition_number': 2520.470199160838, 'projection_gaussianity_statistic': 9.876142688901023, 'rollout_errors': {'16': 0.025857470696792006, '32': 0.07404830912128091}, 'final_train_loss': 0.00013879430965365222, 'prior_loss_mean': 0.010184722170621777, 'transition_loss_mean': 0.0005944372096716203, 'final_transition_loss': 3.0620640245615505e-06}",0.025857470696792006,0.07404830912128091,0.00013879430965365222,0.010184722170621777,52.06501579284668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_wave_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_wave_lattice_gnn_temporal_smooth_lambda0p1_seed1,ok,lattice,gnn_node,temporal_smooth,12304.38969974009,temporal_smooth,False,temporal,0.1,12304.38969974009,1.1644125379461912e-06,0.01432739794254303,graph,0.0012724616184105128,1,f38ffd09489715d6a548c75862fd2cdde04835712ff8454e54eb2dd506cc7af8,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_wave_lattice_gnn_temporal_smooth_lambda0p1_seed1', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'temporal_smooth', 'seed': 1, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 12304.38969974009, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.882535565503674, 'covariance_condition_number': 4803.880617835947, 'projection_gaussianity_statistic': 9.615876329082724, 'rollout_errors': {'16': 0.02389655914157629, '32': 0.07049823016859591}, 'final_train_loss': 0.00019364980107638985, 'prior_loss_mean': 1.0341525662482809e-07, 'transition_loss_mean': 0.0005916365514356888, 'final_transition_loss': 2.54962007299279e-06}",0.02389655914157629,0.07049823016859591,0.00019364980107638985,1.0341525662482809e-07,10.45020842552185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_wave_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_wave_lattice_gnn_none_lambda0p1_seed2,ok,lattice,gnn_node,none,0.1,none,False,none,0.1,0.1,0.0,0.020983591675758362,graph,0.0,2,ca894ed553361bb0d6fd009aa0b02d1db4d2b5bc6a08237c3075d507055d657a,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_wave_lattice_gnn_none_lambda0p1_seed2', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 2, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.4186256250362494, 'covariance_condition_number': 254859.1016057694, 'projection_gaussianity_statistic': 2.682764538448783, 'rollout_errors': {'16': 0.022545457119122148, '32': 0.04765778221189976}, 'final_train_loss': 2.773922915366711e-06, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.00023821529761865653, 'final_transition_loss': 2.773922915366711e-06}",0.022545457119122148,0.04765778221189976,2.773922915366711e-06,0.0,8.557313680648804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
